runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
84983,1000,10,step,step,15,289,-0.246212944,1.303739414,0.192535557,0.627801765,0.171761191,-0.248504836,0.046096343,0.088325932,0.068142235,0.212798132,-0.477780217,-0.528465455,0.588198824,0.228570361,0.097376877,-0.230133252,-0.061701131
44761,1000,10,step,step,25,285,4.500154188,6.619134629,5.522535626,5.801946415,5.000163469,4.496193703,5.287736331,5.059550482,4.906210812,5.70075163,4.525950766,4.591254288,5.233057055,5.391153105,5.421659112,4.496634428,4.623540404
44312,1000,10,step,step,20,270,2.758305827,3.634344284,3.334550418,3.420672508,3.19232148,2.967263627,3.024784567,3.088602772,3.012979375,3.316287103,2.800431341,2.695030461,3.389960863,3.257577031,3.275381552,2.934157296,2.977896109
20611,1000,10,step,step,12,239,3.970442491,4.51719295,4.442182725,4.449010809,4.288713654,3.913737535,4.357542926,4.042617807,4.182107425,4.518784968,3.616704007,3.883825832,4.603594754,4.498585017,4.498246287,3.997194926,3.906225772
16437,1000,10,step,step,30,273,3.842646159,4.497955728,4.212062956,4.444105336,4.284716916,3.930056298,4.416565531,4.079025255,4.193844364,4.492957816,4.358706044,4.370598099,4.356866585,4.313675051,4.182050296,3.914189618,4.036422344
20441,1000,10,step,step,26,251,4.309624062,4.250973388,4.008283347,4.157899963,4.254089997,4.269984412,4.158513264,4.116322197,4.139784765,4.487228059,3.419365682,3.447132168,4.333398049,4.054193247,4.023379351,4.238947741,4.127276646
78744,1000,10,step,step,22,261,4.65230899,4.70715921,5.15159831,5.045097993,4.974642264,4.684750014,5.15394914,4.763462687,5.054036081,4.938564975,5.82454109,5.774631574,4.850671313,5.086329755,5.154129387,4.711025603,4.772033954
360,1000,10,step,step,28,263,4.506905349,5.594677425,5.291468407,5.490048376,5.094876145,4.288010425,5.000763023,4.962870883,4.992136811,5.070918494,5.223732365,5.324536763,5.220243168,5.268534328,5.301240703,4.403459952,4.659389011
86431,1000,10,step,step,18,227,5.086575048,5.480990994,5.303844958,5.536933216,5.329277744,5.275934987,5.295903917,5.373888108,5.316998621,5.75023905,5.319274658,4.979238019,5.735829405,5.279699449,5.254508402,5.302089403,5.291936072
59651,1000,10,step,step,21,257,4.848953881,5.35069635,4.949065927,5.175391681,5.043673012,4.867066966,5.052062945,4.993653344,4.901684332,4.978785875,5.453601497,5.53049894,5.139948138,4.801971525,4.89958525,4.80021811,4.960478397
2725,1000,10,step,step,27,256,4.058281431,4.860791909,4.540043134,4.688213447,4.293327383,3.984955362,4.419781219,4.106865487,4.321224853,4.175752358,4.063599124,3.922565685,4.190097536,4.485153861,4.558807229,3.996960038,4.102882009
63762,1000,10,step,step,15,242,12.65624852,14.10042383,13.35816376,13.64836815,13.19392147,12.65818749,12.86999076,13.06155369,13.44578891,13.85059495,12.81339198,13.09986494,13.85576796,13.33291602,13.34597757,12.68187294,12.76645176
18315,1000,10,step,step,18,246,3.820757596,4.259437208,3.807392786,4.200300038,3.774334262,3.770971484,3.886393766,3.811295636,3.599085665,3.729104494,3.679314264,3.70920794,3.368430035,3.77632829,3.772627394,3.773286878,3.832222059
94175,1000,10,step,step,6,238,5.186705587,4.893183144,4.87977781,4.924852958,5.010179123,5.171141072,5.064621353,4.927258428,5.121559658,4.668778815,5.561113657,5.686958256,5.018097309,4.823999845,4.903670361,4.999264455,5.251764938
