id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,,
42,kang,Bayesian_mu_correct,0,-1.334952648,0.163584506,0.052845548,0.268710363,0,0.055786537,1,kang_correct,,
43,kang,Bayesian_mu_correct,0,2.482671942,0.180832075,0.101467286,0.279573187,0,0.049350247,1,kang_correct,,
44,kang,Bayesian_mu_correct,0,1.292366911,-0.007903319,-0.102370149,0.098735616,1,0.05410664,1,kang_correct,,
45,kang,Bayesian_mu_correct,0,1.287747056,0.029884501,-0.068168746,0.132672857,1,0.054460935,1,kang_correct,,
46,kang,Bayesian_mu_correct,0,1.057076494,0.050455111,-0.058713379,0.13943693,1,0.052066295,1,kang_correct,,
47,kang,Bayesian_mu_correct,0,-1.594327342,0.207630524,0.110765145,0.32380546,0,0.053159839,1,kang_correct,,
48,kang,Bayesian_mu_correct,0,2.482823773,0.03830615,-0.061884699,0.143275211,1,0.051871861,1,kang_correct,,
49,kang,Bayesian_mu_correct,0,0.362864126,-0.266595043,-0.377723523,-0.172964081,0,0.052416219,1,kang_correct,,
50,kang,Bayesian_mu_correct,0,2.754495436,0.161997363,0.062610039,0.27533923,0,0.052444731,1,kang_correct,,
51,kang,Bayesian_mu_correct,0,0.639678257,-0.34367849,-0.473449805,-0.243536269,0,0.057863412,1,kang_correct,,
52,kang,Bayesian_mu_correct,0,2.033274195,-0.01562556,-0.117610454,0.085641518,1,0.053130848,1,kang_correct,,
53,kang,Bayesian_mu_correct,0,1.661821767,0.134982291,0.027665332,0.222794204,0,0.047848952,1,kang_correct,,
54,kang,Bayesian_mu_correct,0,1.724377632,-0.004579289,-0.107586136,0.090771659,1,0.05204787,1,kang_correct,,
55,kang,Bayesian_mu_correct,0,-0.753661931,-0.35026867,-0.452268902,-0.265588008,0,0.048745121,1,kang_correct,,
56,kang,Bayesian_mu_correct,0,4.432425519,0.139846567,0.051784348,0.250225453,0,0.049655569,1,kang_correct,,
57,kang,Bayesian_mu_correct,0,0.539777193,0.04192824,-0.060170779,0.138943412,1,0.053636292,1,kang_correct,,
58,kang,Bayesian_mu_correct,0,6.01E-04,-0.178693454,-0.277457084,-0.091500027,0,0.050307789,1,kang_correct,,
